"","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"80","Nilsson","The-Temptations","Isaac-Hayes","Billie-Jo-Spears","Bobby-Vinton","Captain-Tennille","Bruce-Springsteen","Pink-Lady","Utopia","Spider","One-Way","Red-Rockers","Timmy-Thomas","Commodores","Robert-Palmer","Prince","The-Jets","Was-Not-Was","The-Black-Crowes","Another-Bad-Creation","L-A-Style","Christopher-Williams","Vince-Gill","Dis-N-Dat-Feat-95-South-69-Boyz-K-Nock","Garbage","George-Strait","Mark-Wills","Robbie-Williams","Before-Dark","Three-The-G-Dep-P-Diddy-Black-Rob","Beanie-Sigel-Freeway","Ricky-Martin","Shania-Twain","Mike-Jones","Dashboard-Confessional","Jordin-Sparks","Nelly-Featuring-Fergie","The-Lonely-Island-Featuring-T-Pain","Justin-Bieber-Featuring-Usher","Mac-Miller","Drake-Featuring-The-Weeknd","A-AP-Rocky-Featuring-Skrillex","Brad-Paisley","Carly-Rae-Jepsen","Alan-Walker","Martin-Garrix-Dua-Lipa","Jennifer-Lopez-Featuring-DJ-Khaled-Cardi-B","Pedro-Capo-X-Farruko","Keith-Urban","J-Cole-Bas"
"81","Donny-Hathaway","John-Denver","David-Bowie","First-Class","Donny-Osmond","Electric-Light-Orchestra","Kraftwerk","Evelyn-Champagne-King","Little-River-Band","Michael-Damian","Cheap-Trick","Carl-Wilson","Dan-Fogelberg","Bruce-Springsteen","The-Bangles","Thompson-Twins","Julio-Iglesias-Featuring-Stevie-Wonder","Pajama-Party","Biz-Markie","David-Hallyday","The-College-Boyz","Neneh-Cherry","Michael-Bolton","Gillette","J-Son","Kenny-G","Do-Or-Die-Featuring-Johnny-P-Twista","Lonestar","Metallica","Jamie-O-Neal","Clipse","David-Banner-Featuring-Lil-Flip","311","Ludacris-Featuring-Bobby-Valentino","LL-Cool-J-Featuring-Jennifer-Lopez","Sugarland","Jason-Mraz","Eli-Young-Band","Glee-Cast","Glee-Cast","B-o-B-Featuring-Taylor-Swift","Capital-Cities","5-Seconds-Of-Summer","Easton-Corbin","OneRepublic","Cole-Swindell","Darius-Rucker","BTS-Featuring-Halsey","Scotty-McCreery","Young-Thug-Gunna-Featuring-Drake"
"82","Tom-Jones","Donovan","Rick-Cunha","Narvel-Felts","KISS","The-Emotions","Bill-LaBounty","Carly-Simon","Player","38-Special","The-Manhattan-Transfer","High-Inergy","Def-Leppard","Rick-Springfield","The-Rolling-Stones","Frozen-Ghost","Taylor-Dayne","Sam-Brown","Joey-Kid","Sandee","Chaka-Khan","Prince-And-The-New-Power-Generation","Morrissey","Tony-Thompson","Ace-Of-Base","Veronica-Featuring-Craig-Mack","Sister-7","Lee-Ann-Womack","NAS-Featuring-Ginuwine","Snoop-Dogg-Featuring-Master-P-Nate-Dogg-Butch-Cassidy-Tha-Eastsidaz","Kenny-Chesney","Martina-McBride","Seal","Teairra-Mari","Ghostface-Killah-Featuring-Ne-Yo","Musiq-Soulchild","Montgomery-Gentry","Adam-Lambert","Enrique-Iglesias-Featuring-Pitbull","Seether","Of-Monsters-And-Men","Hadouken","Wiz-Khalifa","Drake","Drake","Imagine-Dragons","Tyga-Featuring-Offset","Nipsey-Hussle-Featuring-Roddy-Ricch-Hit-Boy","Maddie-Tae","Rod-Wave"
"83","Python-Lee-Jackson","Keith-Hampshire","David-Essex","Gordon-Lightfoot","Firefall","Grace-Jones","Atlanta-Rhythm-Section","Sister-Sledge","Crystal-Gayle","Jermaine-Jackson","Larry-Elgart-And-His-Manhattan-Swing-Orchestra","Joan-Armatrading","Culture-Club","Dead-Or-Alive","Julian-Lennon","The-Robert-Cray-Band","Taylor-Dayne","The-Bangles","The-Cover-Girls","The-Rembrandts","Color-Me-Badd","Aaron-Neville","Seal","Naughty-By-Nature","Men-Of-Vizion","Da-Brat-Featuring-T-Boz","Randy-Travis","N-Sync","Phil-Vassar","The-Corrs","Mario","Foo-Fighters","Buddy-Jewell","Jack-Johnson","50-Cent-Olivia","Sean-Kingston","New-Kids-On-The-Block","Rodney-Atkins","Martina-McBride","Toby-Keith","M83","Zac-Brown-Band","Billy-Currington","Mumford-Sons","Rihanna","Kendrick-Lamar","Post-Malone","Dan-Shay","Future-Featuring-Travis-Scott","J-Cole-Bas-6LACK"
"84","Independents","Jethro-Tull","Jim-Croce","Orleans","Bob-Seger","Celi-Bee-The-Buzzy-Bunch","Kansas","Toto","Humble-Pie","Aretha-Franklin","Change","U2","Cameo","Paul-Hyde-Payolas","Bourgeois-Tagg","The-Whispers","Michael-Bolton","Cutting-Crew","Soul-II-Soul","Thunder","Gerald-Levert-Duet-With-Eddie-Levert","Depeche-Mode","Live","Letters-To-Cleo","Lina-Santiago","JAY-Z","Jay-Z-Featuring-BLACKstreet","Faith-Evans-Featuring-Puff-Daddy","Black-Rob","Azul-Azul","System-Of-A-Down","American-Idol-Finalists","Dilated-Peoples-Featuring-Kanye-West","Jo-Dee-Messina","Gary-Allan","Keith-Urban","Taylor-Swift","David-Cook","Jason-Derulo","Nicki-Minaj","J-Cole-Featuring-Missy-Elliott","Miguel","Usher","Keith-Urban-Featuring-Eric-Church","Yo-Gotti-Featuring-E-40","Drake","Travis-Scott-Featuring-Lil-Uzi-Vert-Kanye-West","NLE-Choppa","Gunna","Travis-Scott-HVME"
"85","Jerry-Butler","Tom-Jones","War","Tamiko-Jones","Foghat","Stephen-Bishop","Kenny-Rogers","Eddie-Rabbitt","Smokey-Robinson","Rush","Ashford-Simpson","Maze-Featuring-Frankie-Beverly","Fire-Inc","Tom-Petty-And-The-Heartbreakers","Krokus","Dan-Fogelberg","Toto","The-Jacksons","D-Mob-With-Cathy-Dennis","Titiyo","Tevin-Campbell","Sting","Tony-Toni-Tone","Keith-Martin","Everclear","No-Mercy","Spice-Girls","Randy-Travis","Clint-Black-With-Steve-Wariner","Coldplay","Scarface-Featuring-Jay-Z-Beanie-Sigel","Blu-Cantrell-Featuring-Sean-Paul","Cassidy-Featuring-Mashonda","Faith-Hill","P-nk","Bon-Jovi","DJ-Laz-Featuring-Flo-Rida-Casely","Eminem","Ciara-Featuring-Ludacris","Marsha-Ambrosius","Jana-Kramer","Brantley-Gilbert","Austin-Mahone-Featuring-Pitbull","Tim-McGraw-With-Catherine-Dunn","Drake","Josh-Turner","Jhene-Aiko-Featuring-Swae-Lee-Or-Rae-Sremmurd","Ozuna-x-Daddy-Yankee-x-J-Balvin-x-Farruko-x-Anuel-AA","Future-Featuring-YoungBoy-Never-Broke-Again","Marshmello-X-Jonas-Brothers"
"86","Detroit-Emeralds","Tanya-Tucker","Tavares","Donny-Marie-Osmond","Tavares","Chuck-Mangione-With-The-Hamilton-Philharmonic-Orchestra","Willie-Nelson","Chic","The-Jags","ABBA","Richard-Dimples-Fields","Dexys-Midnight-Runners","Big-Country","Lisa-Lisa-And-Clult-Jam-With-Full-Force","TKA","Lou-Gramm","Ice-T","Animotion","Fleetwood-Mac","Ice-T","TLC","Boy-Krazy","Candlebox","Roula","Kris-Kross","Tracey-Lee","Christion","Chely-Wright","Aaliyah","Ricky-Martin-Duet-With-Christina-Aguilera","Alanis-Morissette","The-White-Stripes","Musiq","Montgomery-Gentry","Jagged-Edge","Fall-Out-Boy","Dierks-Bentley","Gorilla-Zoe","Glee-Cast","Eli-Young-Band","The-Band-Perry","Tamar-Braxton","Dustin-Lynch","Ciara","X-Ambassadors","Katy-Perry-Featuring-Skip-Marley","Bad-Wolves","Cody-Johnson","Gunna","Justin-Bieber"
"87","Joey-Heatherton","The-Supremes","B-B-King","Ben-E-King","Fools-Gold","Gladys-Knight-And-The-Pips","Jefferson-Starship","Instant-Funk","Firefall","Alabama","Chic","Goanna","The-Human-League","Go-West","The-Del-Fuegos","Wang-Chung","Scorpions","Guy","Taylor-Dayne","D-zyre","Michael-Bolton","RuPaul","John-Michael-Montgomery","Max-A-Million","Genius-GZA-Featuring-Method-Man","Suga-Free","Tim-McGraw","John-Michael-Montgomery","Trick-Daddy-Featuring-Duece-Poppito-Trina-Co","Lionel-Richie","Pilar-Montenegro","2Pac-Featuring-Trick-Daddy","Yung-Wun-Featuring-DMX-Lil-Flip-David-Banner","Faith-Evans","E-40-Featuring-Keak-Da-Sneak","Jason-Aldean","Alan-Jackson","Darius-Rucker","Lee-Brice","Mumford-Sons","Andy-Grammer","Rihanna-Featuring-Future","Craig-Campbell","Nicky-Jam-Enrique-Iglesias","Troye-Sivan","Machine-Gun-Kelly-Featuring-Hailee-Steinfeld","Lil-Skies","Juice-WRLD","Carrie-Underwood","P-nk"
"88","Kenny-Loggins-With-Jim-Messina","The-Crusaders","Mickey-Gilley","Northern-Light","The-Steve-Gibbons-Band","Rose-Royce","Nick-Gilder","Art-Garfunkel","Fleetwood-Mac","T-G-Sheppard","Jeffrey-Osborne","After-The-Fire","Newcleus","Nile-Rodgers","John-Eddie","Tina-Turner","Stevie-B","Samantha-Fox","Seduction","The-Rembrandts","Salt-N-Pepa","Levert","Cracker","Masta-Ace-Incorporated","Horace-Brown","The-Brand-New-Heavies","SWV","K-Ci-JoJo","Yankee-Grey","3LW","Ludacris-Featuring-Mystikal-Infamous-2-0","Loon-Featuring-Kelis","Josh-Groban","Joe-Nichols","George-Strait","Eve","Julianne-Hough","F-L-Y-Fast-Life-Yungstaz","Zac-Brown-Band","Kirk-Franklin","Rascal-Flatts","Labrinth-Featuring-Emeli-Sande","Kid-Ink-Featuring-Chris-Brown","Zedd-Featuring-Jon-Bellion","Young-Greatness","2-Chainz-x-Gucci-Mane-x-Quavo","Playboi-Carti-Featuring-Lil-Uzi-Vert","Jon-Pardi","Eminem-Featuring-Juice-WRLD","Duncan-Laurence"
"89","Barbara-Mason","Roy-Clark","Dave-Loggins","Sammy-Johns","Wayne-Newton","Dave-Mason","Billy-Joe-Royal","Cher","REO-Speedwagon","Shalamar","Ambrosia","Joe-Walsh","Teddy-Pendergrass-And-Whitney-Houston","Kim-Mitchell","Loverboy","The-Gregg-Allman-Band","New-Order","Winger","Linda-Ronstadt-Featuring-Aaron-Neville","Yes","Luke","Jade","Meat-Puppets","The-Human-League","Bush","No-Mercy","Dakota-Moon","Red-Hot-Chili-Peppers","Sammie","Babyface","P-O-D","Sean-Paul","Emerson-Drive","Destiny-s-Child","Rodney-Atkins","Tim-McGraw","Alicia-Keys","Ciara-Featuring-Justin-Timberlake","Young-Money-Featuring-Gucci-Mane","Young-Jeezy-Featuring-Lil-Wayne","Chris-Brown","Easton-Corbin","Ingrid-Michaelson","DJ-Khaled-Featuring-Chris-Brown-Lil-Wayne-Big-Sean","Kelly-Clarkson","Rag-n-Bone-Man","Billie-Eilish-Khalid","The-Chainsmokers-Featuring-5-Seconds-Of-Summer","Thomas-Rhett-Featuring-Reba-McEntire-Hillary-Scott-Chris-Tomlin-Keith-Urban","Imagine-Dragons"
"90","Laura-Lee","Ray-Charles","Smokey-Robinson","Michael-Jackson","Atlanta-Rhythm-Section","Merrilee-Rush","Quincy-Jones","Waylon","Mary-Macgregor","Change","Genesis","Stephen-Bishop","The-Alan-Parsons-Project","Jermaine-Jackson","Starpoint","Stacey-Q","Tiffany","Deon-Estus-With-George-Michael","Andrew-Ridgeley","Gloria-Estefan","Clubland-Featuring-Zemya-Hamilton","Freedom-Williams","Atlantic-Starr","Chris-Isaak","Jordan-Hill","Livin-Joy","Kenny-Chesney","Sammy-Kershaw-Lorrie-Morgan","Britney-Spears","Amanda","Chris-Cagle","Vivian-Green","Modest-Mouse","Jet","The-Fray","Bucky-Covington","Trey-Songz","Asher-Roth","Reba","Kenny-Chesney","Jason-Derulo","Tyga-Featuring-Cedric-Gervais-Wiz-Khalifa-Mally-Mall","Imagine-Dragons","Kendrick-Lamar","Dan-Shay","Maluma","Rich-The-Kid-Featuring-Kendrick-Lamar","Mabel","NAV-Gunna-Travis-Scott","Ryan-Hurd-With-Maren-Morris"
"91","Eddie-Kendricks","The-Spinners","KISS","Nektar","Smokey-Robinson","Detroit-Emeralds","LeBlanc-Carr","Tycoon","Triumph","Paul-Anka","Smokey-Robinson","Nona-Hendryx","James-Ingram","Dolly-Parton-Duet-With-Kenny-Rogers","Honeymoon-Suite","Dan-Hill-Duet-With-Vonda-Shepard","Tracy-Chapman","Animotion","Technotronic","Lisette-Melendez","Tevin-Campbell","Tene-Williams","Juliet-Roberts","SF-Spanish-Fly","Xscape-Featuring-MC-Lyte","Robin-S","The-Kenny-Wayne-Shepherd-Band","Creed","Lara-Fabian","Depeche-Mode","Khia-Featuring-DSD","Good-Charlotte","Slum-Village-Featuring-Kanye-West-John-Legend","Kenny-Chesney","The-Raconteurs","Lifehouse","Death-Cab-For-Cutie","Birdman-Featuring-Lil-Wayne","Eric-Church","Steven-Tyler","Love-And-Theft","Danielle-Bradbery","The-Band-Perry","Thomas-Rhett","Rihanna","Calvin-Harris-Featuring-Future-Khalid","Jordan-Davis","Lil-Dicky","Polo-G-Featuring-NLE-Choppa-Stunna-4-Vegas","Jazmine-Sullivan"
"92","B-B-King","Donald-Byrd","Herb-Alpert-The-Tijuana-Brass","The-Main-Ingredient","The-Supremes","Ram-Jam","Smokey-Robinson","Amii-Stewart","The-Tourists","James-Taylor-J-D-Souther","The-Beatles","Loz-Netto","INXS","Lone-Justice","Animotion","Danny-Wilson","Keith-Sweat","Swing-Out-Sister","Danger-Danger","Michael-Damian","Kris-Kross","Dr-Alban","Meat-Loaf","Des-ree","Geto-Boys-Featuring-Flaj","Trapp-Featuring-2pac-Notorious-B-I-G","Ty-Herndon","Dixie-Chicks","Martina-McBride","Willa-Ford","Rascal-Flatts","Phil-Collins","Lionel-Richie","Keith-Anderson","Dem-Franchize-Boyz","Musiq-Soulchild","David-Cook","Miley-Cyrus","Ke-ha-Featuring-3OH-3","Kenny-Chesney-Featuring-Grace-Potter","Future","T-I-Featuring-Lil-Wayne","Sam-Smith","Meghan-Linsey","Kenny-Chesney","Lauren-Duski","Luke-Bryan","Billie-Eilish","Young-T-Bugsey-Featuring-Headie-One","A-Boogie-Wit-da-Hoodie-Featuring-Lil-Durk"
"93","New-Riders-Of-The-Purple-Sage","Gilbert-O-Sullivan","Flash-Cadillac-And-The-Continental-Kids","Daniel-Boone","Special-Delivery-Featuring-Terry-Huff","Universal-Robot-Band","Linda-Ronstadt","Bee-Gees","Paul-Davis","Blondie","Joan-Jett-the-Blackhearts","Eddie-Rabbitt","Tony-Carey","Bon-Jovi","Force-M-D-s","Suzanne-Vega","Paul-Carrack","R-E-M","KISS","Daisy-Dee","A-Tribe-Called-Quest","Baltimora","Wu-Tang-Clan","Lost-Boyz","Quincy-Jones-Feat-Babyface-Tamia-With-Portrai","Barenaked-Ladies","Blair","Alan-Jackson","Pearl-Jam","Jill-Scott","Angie-Stone","Whitney-Houston","Janet-Jackson","Darryl-Worley","Jack-Ingram","Christina-Aguilera","Lloyd-Featuring-Lil-Wayne","Maxwell","Charice-Featuring-Iyaz","Glee-Cast","John-Legend-Featuring-Ludacris","Fergie-Q-Tip-GoonRock","One-Direction","Eric-Paslay","Beyonce","blackbear","Jake-Owen","Lizzo","Polo-G-Featuring-Lil-Baby","Pop-Smoke-Featuring-A-Boogie-Wit-da-Hoodie"
"94","Dennis-Coffey-The-Detroit-Guitar-Band","The-Chi-lites","Terry-Jacks","Shirley-Caesar","The-Salsoul-Orchestra","REO-Speedwagon","Barry-Manilow","Cheryl-Lynn","Mac-Davis","The-Rovers","Atlantic-Starr","Robert-Ellis-Orral-With-Carlene-Carter","Dwight-Twilley","Philip-Bailey","Sly-Fox","Survivor","Henry-Lee-Summer","LL-Cool-J","Bad-English","Trixter","Ozzy-Osbourne","U-N-V","Boston","95-South","Artie-The-1-Man-Party","Wild-Orchid","Blessid-Union-Of-Souls","The-Offspring","Da-Brat","Blake-Shelton","Travis-Tritt","Cold","A-Perfect-Circle","Kanye-West","Buckcherry","Tim-McGraw-With-Faith-Hill","Flex","Kris-Allen","Easton-Corbin","Rihanna","Blake-Shelton","Jason-Aldean","Ty-Dolla-ign-Featuring-Wiz-Khalifa-DJ-Mustard","Jason-Aldean","Hannah-Huston","Lee-Brice","Maroon-5-Featuring-Cardi-B","Yella-Beezy-Gucci-Mane-Quavo","Polo-G","AJR"
"95","Danyel-Gerard","Mac-Davis","Sylvia-And-The-Moments","New-Birth","The-4-Seasons","Maze-Featuring-Frankie-Beverly","Warren-Zevon","Gloria-Gaynor","Bob-Seger","Sister-Sledge","The-J-Geils-Band","Barry-Manilow","The-Pointer-Sisters","Atlantic-Starr","Jackson-Browne","Cinderella","Pebbles","Vanessa-Williams","The-Cure","Robert-Palmer","En-Vogue","Dolly-Parton-Friends","Lighter-Shade-Of-Brown","Bruce-Springsteen","The-Isley-Brothers","Leah-Andreone","Lisa-Loeb","Nas-Featuring-Puff-Daddy","Brooks-Dunn","Eve","Joe-Nichols","Freeway-Featuring-Peedi-Crakk","Joe-Featuring-G-Unit","Blake-Shelton","Little-Big-Town","Lil-Mama","Ferras","Madcon","Zac-Brown-Band","Colbie-Caillat","Dustin-Lynch","Brett-Eldredge","Shakira","Dillon-Francis-DJ-Snake","Drake","Nicky-Jam","Logic-Marshmello","Nicky-Jam-X-Ozuna","Polo-G","Future-Lil-Uzi-Vert"
"96","Donny-Hathaway-And-June-Conquest","Afrique","Mott-The-Hoople","Wet-Willie","Van-Mccoy","Carrie","Kansas","Eddie-Money","Eagles","Helen-Reddy","Go-Go-s","Planet-P","Pretenders","Daryl-Hall-John-Oates","Wax","Luther-Vandross-with-Gregory-Hines","Denise-Lopez","Edie-Brickell-New-Bohemians","Bad-English","The-Fixx","M-C-Hammer","Shai","Black-Moon","Sophie-B-Hawkins","Kristine-W","Richie-Rich","Davina","Chad-Brock","Dixie-Chicks","Cyndi-Thomson","Maxwell","Red-Hot-Chili-Peppers","Lostprophets","Juanes","Anthony-Hamilton","Fabolous-Featuring-Ne-Yo","Kanye-West-Featuring-Chris-Martin","Yung-L-A-Featuring-Young-Dro-T-I","Gyptian","Don-Omar-Lucenzo","Rita-Ora","Kelly-Rowland","Jay-Z-Featuring-Beyonce","Brad-Paisley","Kiiara","AJR","Ozuna-Romeo-Santos","Maluma","Noah-Cyrus-Leon-Bridges","Thomas-Rhett"
"97","Daniel-Boone","Clarence-Carter","George-Fischoff","The-Manhattans","Sundown-Company","The-Manhattans","Eric-Clapton","The-Tarney-Spencer-Band","Tom-Petty-And-The-Heartbreakers","Steve-Winwood","John-Denver","Walter-Egan","Eurythmics","Chicago","ABC","Club-Nouveau","The-Smithereens","Bad-Company","The-U-Krew","Timmy-T","RTZ","Lords-Of-The-Underground","Smif-N-Wessun","Ol-Dirty-Bastard","Planet-Soul-Featuring-Brenda-Dee","JAY-Z","She-Moves","Montgomery-Gentry","Nu-Flavor","ATC","Sean-Paul","Godsmack","Nickelback","Rihanna","Sean-Paul-Feat-Keyshia-Cole","Beyonce","Panic-At-The-Disco","Toby-Keith","Taylor-Swift","Nicole-Scherzinger-Featuring-50-Cent","Phillip-Phillips","Kelly-Clarkson","Young-Thug","twenty-one-pilots","The-Lumineers","Chris-Stapleton","Post-Malone-Featuring-Swae-Lee","Jason-Aldean","Lil-Baby-42-Dugg","J-Cole"
"98","Sailcat","Andy-Pratt","Johnny-T-Angel","Ike-Tina-Turner","The-Champs-Boys-Orchestra","Brownsville-Station","Bee-Gees","Carrie-Lucas","The-B-52s","REO-Speedwagon","ABBA","Neil-Diamond","Daryl-Hall-John-Oates","Al-Corley","Cherrelle-With-Alexander-O-Neal","Peter-Wolf","Stevie-Wonder-Michael-Jackson","The-Replacements","Michael-McDonald","Michel-le","Midi-Maxi-Efti","Belly","Jocelyn-Enriquez","Bonnie-Raitt","Gravity-Kills","Madonna","Smooth","Collective-Soul","Darryl-Worley","Vertical-Horizon","India-Arie","Fleetwood-Mac","G-Unit-Featuring-Joe","Kem","Busta-Rhymes-Featuring-will-i-am-Kelis","Carrie-Underwood","Chris-Cagle","Glee-Cast","Erykah-Badu","Lupe-Fiasco-Featuring-Trey-Songz","Chris-Cagle","Little-Mix","Lorde","X-Ambassadors","Nicky-Jam","Zac-Brown-Band","Panic-At-The-Disco","YNW-Melly-Featuring-Kanye-West","Gunna","Morgan-Wallen"
"99","Jackie-DeShannon","The-Delfonics","Millie-Jackson","The-Brecker-Brothers","Santana","Walter-Egan","Queen","Frank-Mills","Journey","The-Police","Sammy-Hagar","Patrick-Simmons","Weird-Al-Yankovic","Phil-Collins","Graham-Nash","Cyndi-Lauper","Richard-Marx","Skid-Row","Seduction","Enigma","The-Williams-Brothers","House-Of-Pain","M-C-Hammer","Grand-Puba","The-Presidents-Of-The-United-States-Of-America","Collective-Soul","Daze","Missy-Misdemeanor-Elliott","Ying-Yang-Twins","R-E-M","Isyss-Featuring-Jadakiss","Kiley-Dean","Cherie","Bobby-Pinson","Craig-Morgan","Blake-Lewis","David-Cook","Kanye-West-Featuring-Young-Jeezy","Justin-Moore","My-Chemical-Romance","Michel-Telo","Future-Featuring-Lil-Wayne","Pitbull-Featuring-Jennifer-Lopez-Claudia-Leitte","Luke-Bryan","Fetty-Wap","Enrique-Iglesias-Featuring-Descemer-Bueno-Zion-Lennox-Or-Sean-Paul","XXXTENTACION","Bazzi","Lil-Baby","J-Cole"
"100","Petula-Clark","Electric-Light-Orchestra","Fanny","Sugarloaf-Jerry-Corbetta","Ecstasy-Passion-Pain-Featuring-Barbara-Roy","Bobby-Vinton","Earth-Wind-Fire","Narada-Michael-Walden","Michael-Jackson","Dolly-Parton","David-Bowie","Kenny-Loggins","Yes","Alex-Brown","B-E-Taylor-Group","Kool-The-Gang","Jesse-Johnson","TKA","Whitesnake","INXS","Kym-Sims","MC-Nas-D-DJ-Fred","The-Sounds-Of-Blackness","Ol-Dirty-Bastard","Madonna","Aerosmith","Clay-Walker","T-W-D-Y-Featuring-Too-Short-Mac-Mall","Tracy-Lawrence","Ginuwine","Hoobastank","Missy-Misdemeanor-Elliott","Yeah-Yeah-Yeahs","Mike-Jones-Featuring-Slim-Thug-Paul-Wall","Keyshia-Cole","Blake-Shelton","Seether","Ciara-Featuring-Young-Jeezy","Glee-Cast","Foo-Fighters","Skrillex-Featuring-Sirah","A-AP-Ferg","Shakira-Featuring-Rihanna","Kevin-Gates-Featuring-August-Alsina","Alisan-Porter","Jason-Aldean","Pusha-T","Jhene-Aiko","Surf-Mesa-Featuring-Emilee","Lainey-Wilson"
