"","title","lyrics_link","lyrics"
"1","good 4 u","https://www.musixmatch.com/lyrics/Olivia-Rodrigo/good-4-u","(Ah)

Well, good for you, I guess you moved on really easilyYou found a new girl and it only took a couple weeks
Remember when you said that you wanted to give me the world? (Ah-ah-ah-ah)
And good for you, I guess that you've been workin' on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand new girl

Well, good for you, you look happy and healthy, not me
If you ever cared to ask
Good for you, you're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you're gettin' everything you want (ah)
You bought a new car and your career's really takin' off (ah)
It's like we never even happened
Baby, what the fuck is up with that? (Ha)
And good for you, it's like you never even met me
Remember when you swore to God I was the only
Person who ever got you?
Well, screw that and screw you
You will never have to hurt the way you know that I do

Well, good for you, you look happy and healthy, not me
If you ever cared to ask
Good for you, you're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Ah-ah-ah-ah
Ah-ah-ah-ah

Maybe I'm too emotional
But your apathy's like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Maybe I'm too emotional
Your apathy is like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all

Well, good for you, you look happy and healthy, not me
If you ever cared to ask
Good for you, you're doin' great out there without me, baby
Like a damn sociopath
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you moved on really easily"
"2","Todo De Ti","https://www.musixmatch.com/lyrics/Rauw-Alejandro/Todo-De-Ti","One, two
One, two, threeEl viento soba tu cabello
Uh, uh, uh, uh, uh
Me matan esos ojos bellos
Uh, uh, uh, uh, uh
Me gusta tu olor
De tu piel, el color

Y como me haces sentir
Me gusta tu boquita
Ese labial rosita
Y cómo me besas a mí

Contigo quiero despertar
Hacerlo después de fumar
Ya no tengo na' que buscar
Algo fuera de aquí

Tú combinas con el mar
Ese bikini se ve fenomenal
No hay gravedad que me pueda elevar
Me pones mal a mí

Aceleraste mis latidos
Es que me gusta todo de ti
De to'as tus partes, ¿cuál decido?
Es que me gusta todo de ti
Es que me gusta todo de ti
Es que me gusta todo de ti

Quinta Avenida, no va pa'l mall
Ella sabe que le llego a todo en un call
En la Raptor me gusta ponerla en Ford
El jogger large, la camisa small

Como la dieta keto
Por ti me controlo y me quedo quieto
Aunque quiero comerte to' eso completo
De ese culo me volví un te'co, eh

Micro dosis, rola, oxy
Besando esos labios glossy
Ya yo le di en to'as las posi'

Shampoo de coco
Chanel su wallet
Me vuelve loco desde el casco
Hasta los pedales

Contigo quiero despertar
Hacerlo después de fumar
Ya no tengo na' que buscar
Algo fuera de aquí

Tú combinas con el mar
Ese bikini se ve fenomenal
No hay gravedad que me pueda elevar
Me pones mal a mí

Aceleraste mis latidos
Es que me gusta todo de ti
De to'as tus partes, ¿cuál decido?
Es que me gusta todo de ti
Todo de ti, todo de ti
Es que me gusta todo de ti
Todo de ti, todo de ti
Es que me gusta todo de ti

Contigo quiero despertar
Hacerlo después de fumar
Ya no tengo na' que buscar
Algo fuera de aquí

Tú combinas con el mar
Ese bikini se ve fenomenal
No hay gravedad que me pueda elevar
Me pones mal a mí

Rauw Alejandro
Algo fuera de mí
Me pones mal a mí"
"3","Butter","https://www.musixmatch.com/lyrics/BTS/Butter","Smooth like butter
Like a criminal undercover
Gon' pop like troubleBreakin' into your heart like that (ooh)
Cool shade, stunner
Yeah, I owe it all to my mother
Hot like summer
Yeah, I'm makin' you sweat like that (break it down)

Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow, so
Ooh (do the boogie, like)

Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll

Smooth like butter
Pull you in like no other
Don't need no Usher
To remind me you got it bad
Ain't no other
That can sweep you up like a robber
Straight up, I got ya
Makin' you fall like that (break it down)

Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow, so
Ooh (do the boogie, like)

Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll

Get it, let it roll
Get it, let it roll

No ice on my wrist, I'm that nice guy
Got that right body and that right mind
Rollin' up to party, got the right vibe
Smooth like (butter) hate us (love us)
Fresh, boy, pull up and we lay low
All the playas get movin' when the bass low
Got ARMY right behind us when we say so
Let's go

Side step, right, left to my beat (right, left to my beat)
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap (you know that talk is cheap)
Side step, right, left to my beat
Get it, let it roll

Smooth like (butter) cool shade (stunner)
And you know we don't stop
Hot like (summer) ain't no (bummer)
You be like, ""Oh my God""
We gon' make you rock and you say (yeah)
We gon' make you bounce and you say (yeah)
Hotter? Sweeter! Cooler? Butter!
Get it, let it roll"
"4","deja vu","https://www.musixmatch.com/lyrics/Olivia-Rodrigo/deja-vu","Car rides to Malibu
Strawberry ice cream, one spoon for two
And tradin' jacketsLaughin' 'bout how small it looks on you
(Ha-ha-ha-ha, ha-ha-ha-ha-ha, ha-ha-ha-ha)
Watching reruns of Glee
Bein' annoying, singin' in harmony
I bet she's braggin' to all her friends, sayin' you're so unique, hm

So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was our place, I found it first
I made the jokes you tell to her when she's with you

Do you get déjà vu when she's with you?
Do you get déjà vu? (Ah), hmm
Do you get déjà vu? Huh

Do you call her, almost say my name?
'Cause let's be honest, we kinda do sound the same
Another actress
I hate to think that I was just your type

I bet that she knows Billy Joel
'Cause you played her ""Uptown Girl""
You're singin' it together
Now I bet you even tell her how you love her
In between the chorus and the verse (ooh)

So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was the show we talked about
Played you the songs she's singing now when she's with you

Do you get déjà vu when she's with you?
Do you get déjà vu? (Oh-oh)
Do you get déjà vu?

Strawberry ice cream in Malibu
Don't act like we didn't do that shit, too
You're tradin' jackets like we used to do
(Yeah, everything is all reused)
Play her piano, but she doesn't know (oh, oh)
That I was the one who taught you Billy Joel (oh)
A different girl now, but there's nothing new

I know you get déjà vu

I know you get déjà vu

I know you get déjà vu"
"5","MONTERO (Call Me By Your Name)","https://www.musixmatch.com/lyrics/Lil-Nas-X/MONTERO-Call-Me-By-Your-Name","I caught it bad yesterday
You hit me with a call to your place
Ain′t been out in a while anywayWas hopin' I could catch you throwin′ smiles in my face

Romantic talkin'? You don't even have to try
You′re cute enough to fuck with me tonight
Lookin′ at the table, all I see is weed and white
Baby, you livin' the life, but nigga, you ain′t livin' right

Cocaine and drinkin′ with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain′t in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like

Mmm, mmm, mmm
Mmm, mmm, mmm

Ayy, ayy
I wanna sell what you′re buyin′
I wanna feel on your ass in Hawaii
I want that jet lag from fuckin' and flyin′
Shoot a child in your mouth while I'm ridin′

Oh, oh, oh, why me?
A sign of the times every time that I speak
A dime and a nine, it was mine every week
What a time, an incline, God was shinin' on me

Now I can′t leave
And now I'm actin' hella elite
Never want the niggas that′s in my league
I wanna fuck the ones I envy, I envy

Cocaine and drinkin′ with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain′t in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I′ll be on the way like

Oh, call me by your name (mmm, mmm, mmm)
Tell me you love me in private
Call me by your name (mmm, mmm, mmm)
I do not care if you lyin'"
"6","Kiss Me More (feat. SZA)","https://www.musixmatch.com/lyrics/Doja-Cat-SZA/Kiss-Me-More-SZA","We hug and, yes, we make love
And always just say, ""Goodnight"" (la-la-la, la-la-la)
And we cuddle, sure, I do love itBut I need your lips on mine

(Can you kiss me more?)
We're so young, boy, we ain't got nothing to lose, uh-oh
(It's just principle)
Baby, hold me 'cause I like the way you move, uh-oh

Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it (la-la-la, la-la)
Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it (la-la-la, la-la)

I, I feel like fucking something
But we can be corny, fuck it
Sugar, I ain't no dummy-dummy
I like to say, ""What if?""
But if we could kiss and just cut the rubbish
Then I might be on to something
I ain't giving you one in public
I'm giving you hundreds, fuck it

Something we just gotta get into
Sign first, middle, last, on the wisdom tooth
Niggas wishing that the pussy was a kissing booth
Taste breakfast, lunch, and gin, and juice
And that dinner just like dessert too
And when we French, refresh, gimme two
When I bite that lip, come get me too
He want lipstick, lip-gloss, hickeys too, huh

(Can you kiss me more?)
We're so young, boy, we ain't got nothing to lose, uh-oh
(It's just principle)
Baby, hold me 'cause I like the way you move, uh-oh

Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it (la-la-la, la-la)
Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it

Say, give me a buck, need that gushy stuff
Push your limit, no, you ain't good enough
All your niggas say that you lost without me
All my bitches feel like I dodged the county
Fucking with you feel like jail, nigga
I can't even exhale, nigga
Pussy like holy grail, you know that
You gon' make me need bail, you know that
Caught dipping with your friend
You ain't even half man, lying on your-, you know that
Got me a bag full of brick, you know that
Control, don't slow the pace if I throw back
All this ass for real (all this ass)
Drama make you feel (make you feel)
Fantasy and whip appeal is all I can give you

(Can you kiss me more?)
We're so young, boy, we ain't got nothing to lose, uh-oh
(It's just principle)
Baby, hold me 'cause I like the way you groove, uh-oh
Oh, darling

Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it"
"7","Peaches","https://www.musixmatch.com/lyrics/Justin-Bieber-Daniel-Caesar-Giveon/Peaches","I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that′s that shit)
I took my chick up to the North, yeah (badass bitch)I get my light right from the source, yeah (yeah, that's it)

And I see you (oh), the way I breathe you in (in)
It′s the texture of your skin
I wanna wrap my arms around you, baby
Never let you go, oh
And I say, oh, there's nothing like your touch
It's the way you lift me up, yeah
And I′ll be right here with you ′til the end

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that′s it)

You ain't sure yet, but I′m for ya
All I could want, all I can wish for
Nights alone that we miss more
And days we save as souvenirs
There's no time, I wanna make more time
And give you my whole life

I left my girl, I′m in Mallorca
Hate to leave her, call it torture
Remember when I couldn't hold her
Left the baggage for Rimowa

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that′s it)

I get the feeling, so I′m sure (sure)
Hand in my hand because I'm yours
I can′t, I can't pretend, I can′t ignore you're right for me
Don′t think you wanna know just where I've been, oh

Done bein' distracted
The one I need is right in my arms (oh)
Your kisses taste the sweetest with mine
And I′ll be right here with you ′til end of time

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that′s it)

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
(I get my light right from the source, yeah, yeah)

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that′s that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)

I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that′s that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)"
"8","traitor","https://www.musixmatch.com/lyrics/Olivia-Rodrigo/traitor","Ooh, ooh, ooh, ah
Ah, ah, ah, ahBrown guilty eyes and little white lies, yeah
I played dumb but I always knew
That you talked to her, maybe did even worse
I kept quiet so I could keep you

And ain't it funny how you ran to her
The second that we called it quits?
And ain't it funny how you said you were friends?
Now it sure as hell don't look like it

You betrayed me
And I know that you'll never feel sorry for the way I hurt, yeah
You talked to her when we were together
Loved you at your worst, but that didn't matter
It took you two weeks to go off and date her
Guess you didn't cheat, but you're still a traitor

Now you bring her around just to shut me down
Show her off like she's a new trophy
And I know if you were true, there's no damn way that you
Could fall in love with somebody that quickly

Ain't it funny? All the twisted games
All the questions you used to avoid
Ain't it funny? Remember I brought her up
And you told me I was paranoid?

You betrayed me
And I know that you'll never feel sorry for the way I hurt, yeah
You talked to her when we were together
Loved you at your worst, but that didn't matter
It took you two weeks to go off and date her
Guess you didn't cheat, but you're still a traitor

(Ah-ah-ah) God, I wish that you had thought this through
Before I went and fell in love with you
(Ah-ah-ah) When she's sleepin' in the bed we made
Don't you dare forget about the way

You betrayed me
'Cause I know that you'll never feel sorry for the way I hurt, yeah
You talked to her when we were together
You gave me your word, but that didn't matter
It took you two weeks to go off and date her
Guess you didn't cheat
But you're still, you're still a traitor (ah-ah-ah)
Yeah, you're still a traitor

(Ooh-ooh-ooh) God, I wish that you had thought this through
Before I went and fell in love with you"
"9","drivers license","https://www.musixmatch.com/lyrics/Olivia-Rodrigo/drivers-license","I got my driver′s license last week
Just like we always talked about
'Cause you were so excited for meTo finally drive up to your house
But today, I drove through the suburbs
Crying ′cause you weren't around

And you're probably with that blonde girl
Who always made me doubt
She′s so much older than me
She′s everything I'm insecure about
Yeah, today I drove through the suburbs
′Cause how could I ever love someone else?

And I know we weren't perfect
But I′ve never felt this way for no one
And I just can't imagine how you could be so okay now that I′m gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

And all my friends are tired
Of hearing how much I miss you, but
I kinda feel sorry for them
′Cause they′ll never know you the way that I do
Yeah, today I drove through the suburbs
And pictured I was driving home to you

And I know we weren't perfect
But I′ve never felt this way for no one, oh
And I just can't imagine how you could be so okay now that I′m gone
I guess you didn't mean what you wrote in that song about me
′Cause you said forever, now I drive alone past your street

Red lights, stop signs
I still see your face in the white cars, front yards
Can't drive past the places we used to go to
'Cause I still fucking love you, babe (ooh, ooh-ooh, ooh-ooh)
Sidewalks we crossed
I still hear your voice in the traffic
We′re laughing over all the noise
God, I′m so blue, know we're through
But I still fucking love you, babe (ooh, ooh-ooh, ooh-ooh)

I know we weren′t perfect
But I've never felt this way for no one
And I just can′t imagine how you could be so okay now that I'm gone
Guess you didn′t mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street
Yeah, you said forever, now I drive alone past your street"
"10","Levitating (feat. DaBaby)","https://www.musixmatch.com/lyrics/Dua-Lipa-DaBaby/Levitating-DaBaby","Billboard Baby, Dua Lipa make 'em dance when it come on
Everybody lookin' for a dance floor to run onIf you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yеah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, comе on, dance with me
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating

I'm one of the greatest, ain't no debatin' on it (let's go)
I'm still levitating, I'm heavily medicated
Ironic I gave 'em love, and they end up hatin' on me (go)
She told me love me, and she been waitin'
Been fightin' hard for your love, and I'm runnin' thin on my patience
Needin' someone to hug, even took it back to the basics

You see what you got me out here doin'? (Yeah)
Might've threw me off, but can't nobody stop the movement (uh-uh)
Let's go, left foot, right foot, levitatin' (c'mon)
Pop stars (go), Dua Lipa with DaBaby
I had to lace my shoes for all the blessings I was chasin' (go)
If I ever slip, I fall into a better situation

So catch up, go put some cheese on it
Get out and get your bread up (yeah, yeah)
They always leaving you far, but you run together (hey)
Weight of the world on my shoulders, I kept my head up
Now baby stand up, 'cause girl you

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating

You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah
I'm levitating (woo)

You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (woo)

My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah

My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading

I got you, moonlight, you're my starlight
I need you all night (all night), come on, dance with me (let's go)
I'm levitating (woo)

You can fly away with me tonight (tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (take you for a ride)
I'm levitating (woo)

You can fly away with me tonight (tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (let me take you for a ride)

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating"
"11","favorite crime","https://www.musixmatch.com/lyrics/Olivia-Rodrigo/favorite-crime","Know that I loved you so bad
I let you treat me like that
I was your willing accomplice, honeyAnd I watched as you fled the scene
Doe-eyed as you buried me
One heart broke, four hands bloody

The things I did
Just so I could call you mine
The things you did
Well, I hope I was your favorite crime

You used me as an alibi
I crossed my heart as you crossed the line
And I defended you to all my friends
And now every time a siren sounds
I wondеr if you're around
'Cause you know that I'd do it all again

Oh, the things I did
Just so I could call you minе
The things you did
Well, I hope I was your favorite crime

It's bittersweet to think about the damage that we'd do
'Cause I was goin' down, but I was doin' it with you
Yeah, everything we broke and all the trouble that we made
But I say that I hate you with a smile on my face
Oh, look what we became

Oh, the things I did
Just so I could call you mine
Oh, the things you did
Well, I hope I was your favorite crime

Your favorite crime, your favorite crime
'Cause, baby, you were mine"
"12","brutal","https://www.musixmatch.com/lyrics/Olivia-Rodrigo/brutal","I want it to be, like, messy

I'm so insecure, I thinkThat I'll die before I drink
And I'm so caught up in the news
Of who likes me and who hates you
And I'm so tired that I might
Quit my job, start a new life
And they'd all be so disappointed
'Cause who am I, if not exploited?

And I'm so sick of 17
Where's my fucking teenage dream?
If someone tells me one more time
""Enjoy your youth,"" I'm gonna cry
And I don't stick up for myself
I'm anxious and nothing can help
And I wish I'd done this before
And I wish people liked me more

All I did was try my best
This the kind of thanks I get?
Unrelentlessly upset (ah, ah, ah)
They say these are the golden years
But I wish I could disappear
Ego crush is so severe
God, it's brutal out here
(Yeah!)

I feel like no one wants me
And I hate the way I'm perceived
I only have two real friends
And lately, I'm a nervous wreck
'Cause I love people I don't like
And I hate every song I write
And I'm not cool and I'm not smart
And I can't even parallel park

All I did was try my best
This the kind of thanks I get?
Unrelentlessly upset (ah, ah, ah)
They say these are the golden years
But I wish I could disappear
Ego crush is so severe
God, it's brutal out here
(Yeah! Just having a really good time)

Got a broken ego, broken heart
(It's brutal out here, it's brutal out here)
And God, I don't even know where to start"
"13","Save Your Tears (with Ariana Grande) (Remix)","https://www.musixmatch.com/lyrics/The-Weeknd-Ariana-Grande/Save-Your-Tears-with-Ariana-Grande-Remix","Ooh (ooh)
Nah-nah, yeah

I saw you dancing in a crowded room (uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye

I don't know why I run away (oh, oh, oh, oh, oh)
I'll make you cry when I run away (oh, oh, oh, oh, oh)

Take me back 'cause I wanna stay
Save your tears for another

Save your tears for another day (oh, oh, oh, oh, oh)
Save your tears for another day (mm)

Met you once under a Pisces moon
I kept my distance 'cause I know that you
Don't like when I'm with nobody else
I couldn't help it, I put you through hell

I don't know why I run away (run away, oh, oh, oh, oh)
Oh, boy, I'll make you cry when I run away (away, oh, oh, oh, oh)

Boy, take me back 'cause I wanna stay
Save your tears for another
I realize that it's much too late
And you deserve someone better

Save your tears for another day (oh, oh, oh, oh, oh)
Save your tears for another day (oh, oh, oh, oh, oh)

I don't know why I run away (bum, bum, bum, bum, bum)
I'll make you cry when I run away (save)

Save your tears for another day (ooh)
Ooh, girl (oh, oh, oh, oh, oh, okay)
I said save your tears for another day (oh, oh, oh, oh, oh)

Save your tears for another day (oh, oh, oh, oh, oh)
Save your tears for another day (oh, oh, oh, oh, oh)
Save your tears for another day"
